涮	涮
淞	淞
淹	淹
涸	涸
混	混
淵	渊
淅	淅
淒	凄
渚	渚
涵	涵
淚	泪
淫	淫
淘	淘
淪	沦
深	深
淮	淮
淨	净
淆	淆
淄	淄
烹	烹
焉	焉
焊	焊
烽	烽
爽	爽
牽	牵
犁	犁
猜	猜
猛	猛
猖	猖
猓	猓
猙	狰
率	率
琅	琅
琊	琊
球	球
理	理
現	现
琍	璃
瓠	瓠
瓶	瓶
瓷	瓷
甜	甜
產	产
略	略
畦	畦
畢	毕
異	异
疏	疏
痊	痊
痔	痔
痕	痕
疵	疵
皎	皎
盔	盔
盒	盒
盛	盛
眷	眷
眾	众
眼	眼
眶	眶
眸	眸
眺	眺
硫	硫
硃	朱
祥	祥
票	票
祭	祭
移	移
窒	窒
窕	窕
笠	笠
笨	笨
笛	笛
第	第
符	符
笙	笙
笞	笞
粒	粒
粗	粗
絆	绊
絃	弦
統	统
紮	扎
紹	绍
紼	绋
絀	绌
細	细
紳	绅
組	组
累	累
終	终
缽	钵
羞	羞
羚	羚
翌	翌
翎	翎
習	习
耜	耜
聊	聊
聆	聆
脯	脯
脖	脖
脣	唇
脫	脱
脩	脩
舂	舂
舵	舵
舷	舷
舶	舶
船	船
莎	莎
莞	莞
莘	莘
荸	荸
莢	荚
莖	茎
莽	莽
莫	莫
莒	莒
莊	庄
莓	莓
莉	莉
莠	莠
荷	荷
荻	荻
荼	荼
處	处
彪	彪
蛇	蛇
蛀	蛀
蚶	蚶
蛄	蛄
蚵	蚵
蛆	蛆
蛋	蛋
蚱	蚱
蚯	蚯
術	术
袞	衮
袈	袈
被	被
袒	袒
袖	袖
袍	袍
袋	袋
覓	觅
規	规
訪	访
訝	讶
訣	诀
訥	讷
許	许
設	设
訟	讼
訛	讹
豉	豉
豚	豚
販	贩
責	责
貫	贯
貨	货
貪	贪
貧	贫
赧	赧
赦	赦
趾	趾
軛	轭
軟	软
這	这
逍	逍
通	通
逗	逗
連	连
速	速
逝	逝
逐	逐
逕	迳
逞	逞
造	造
透	透
逢	逢
逖	逖
逛	逛
途	途
部	部
郭	郭
都	都
酗	酗
野	野
釵	钗
釦	扣
釣	钓
釧	钏
閉	闭
陪	陪
陵	陵
陳	陈
陸	陆
陰	阴
陴	陴
陶	陶
陷	陷
雀	雀
雪	雪
章	章
竟	竟
頂	顶
頃	顷
魚	鱼
鳥	鸟
鹿	鹿
麥	麦
麻	麻
傢	家
傍	傍
傅	傅
備	备
傑	杰
傀	傀
傖	伧
傘	伞
最	最
凱	凯
割	割
剴	剀
創	创
剩	剩
勞	劳
勝	胜
勛	勋
博	博
厥	厥
啻	啻
喀	喀
喧	喧
啼	啼
喊	喊
喝	喝
喘	喘
喂	喂
喜	喜
喪	丧
喔	喔
喇	喇
喋	喋
喃	喃
喳	喳
單	单
喟	喟
唾	唾
喲	哟
喚	唤
喻	喻
喬	乔
喱	喱
啾	啾
喉	喉
圍	围
堯	尧
堪	堪
場	场
堤	堤
堰	堰
報	报
堡	堡
壹	壹
壺	壶
奠	奠
婷	婷
媚	媚
婿	婿
媒	媒
媛	媛
孳	孳
孱	孱
寒	寒
富	富
寓	寓
寐	寐
尊	尊
尋	寻
就	就
嵌	嵌
嵐	岚
巽	巽
幅	幅
帽	帽
幀	帧
幾	几
廊	廊
廁	厕
廂	厢
弼	弼
彭	彭
復	复
循	循
徨	徨
惑	惑
惡	恶
悲	悲
悶	闷
惠	惠
愜	惬
愣	愣
惺	惺
愕	愕
惰	惰
惻	恻
惴	惴
慨	慨
惱	恼
愎	愎
惶	惶
愉	愉
愀	愀
戟	戟
扉	扉
掣	掣
掌	掌
描	描
揀	拣
揩	揩
揉	揉
揆	揆
揍	揍
插	插
揣	揣
提	提
握	握
揖	揖
揭	揭
揮	挥
捶	捶
援	援
揪	揪
換	换
摒	摒
揚	扬
敞	敞
敦	敦
敢	敢
散	散
斑	斑
斐	斐
斯	斯
普	普
晰	晰
晴	晴
晶	晶
景	景
暑	暑
智	智
曾	曾
替	替
期	期
朝	朝
棺	棺
棕	棕
棠	棠
棘	棘
棗	枣
椅	椅
棟	栋
棵	棵
森	森
棧	栈
棹	棹
棒	棒
棲	栖
棣	棣
棋	棋
棍	棍
植	植
椒	椒
椎	椎
棉	棉
棚	棚
款	款
欺	欺
欽	钦
殘	残
殖	殖
殼	壳
毯	毯
氮	氮
氯	氯
港	港
游	游
湔	湔
渡	渡
渲	渲
湧	涌
湊	凑
渠	渠
渥	渥
渣	渣
減	减
湛	湛
湘	湘
渤	渤
湖	湖
湮	湮
渭	渭
渦	涡
湯	汤
渴	渴
湍	湍
渺	渺
測	测
湃	湃
渝	渝
渾	浑
滋	滋
溉	溉
渙	涣
焙	焙
焚	焚
焦	焦
焰	焰
無	无
然	然
煮	煮
牌	牌
犄	犄
犀	犀
猶	犹
猥	猥
猴	猴
猩	猩
琺	珐
琪	琪
琳	琳
琢	琢
琥	琥
琵	琵
琶	琶
琴	琴
甥	甥
甦	苏
畫	画
番	番
痢	痢
痛	痛
痣	痣
痙	痉
痘	痘
痞	痞
登	登
發	发
皖	皖
皓	皓
皴	皴
盜	盗
睏	困
短	短
硝	硝
硬	硬
硯	砚
稍	稍
稈	秆
程	程
稅	税
稀	稀
窘	窘
窗	窗
窖	窖
童	童
竣	竣
等	等
策	策
筆	笔
筐	筐
筒	筒
答	答
筍	笋
筋	筋
筏	筏
粟	粟
粥	粥
絞	绞
結	结
絨	绒
絕	绝
紫	紫
絮	絮
絲	丝
絡	络
給	给
絢	绚
善	善
翔	翔
翕	翕
肅	肃
腕	腕
腔	腔
腋	腋
腑	腑
腎	肾
脹	胀
腆	腆
脾	脾
舒	舒
舜	舜
菩	菩
萃	萃
菸	烟
